Country,Year,Average_Monthly_Income,Cost_of_Living,Housing_Cost_Percentage,Tax_Rate,Savings_Percentage,Healthcare_Cost_Percentage,Education_Cost_Percentage,Transportation_Cost_Percentage,Region
South Africa,2002,2348.02,2964.48,33.11,25.61,21.55,5.48,6.39,16.7,Africa
India,2017,6643.27,3361.38,41.89,18.14,25.88,11.35,13.32,13.46,Asia
Canada,2011,6495.62,1967.79,42.97,15.0,5.38,6.27,3.09,8.92,North America
South Africa,2000,5710.22,2863.46,24.77,12.11,24.0,14.1,4.74,15.42,Africa
India,2021,2541.09,1899.98,38.31,31.66,16.58,18.21,11.78,13.51,Asia
Japan,2011,4926.73,883.09,24.06,18.53,11.9,18.24,2.67,16.94,Asia
France,2004,3207.3,4382.76,42.54,22.89,3.95,14.89,8.4,16.03,Europe
Japan,2016,1186.87,4810.2,39.71,22.23,25.96,8.17,7.75,14.15,Asia
France,2015,7379.85,4488.64,48.7,25.2,4.72,17.94,6.35,12.32,Europe
Germany,2014,1526.14,3459.06,22.07,35.3,9.29,18.29,7.13,7.0,Europe
Germany,2022,7626.78,2906.59,21.71,39.33,8.7,7.95,8.89,8.92,Europe
Germany,2014,3845.04,6098.0,28.47,19.27,26.14,16.06,4.1,11.29,Europe
Canada,2004,1888.5,3825.94,27.85,33.96,20.18,9.3,9.44,13.99,North America
Japan,2020,4564.26,3562.6,27.41,31.76,23.9,17.04,12.47,12.71,Asia
France,2013,7047.09,569.24,47.19,25.07,7.51,19.96,11.88,9.32,Europe
India,2001,5991.69,2652.24,27.49,38.46,18.75,5.45,4.0,5.1,Asia
United States,2010,6549.21,2909.29,28.16,12.02,17.15,18.46,3.94,12.44,North America
India,2018,5440.88,3032.23,42.78,8.82,24.98,14.34,5.49,9.28,Asia
United States,2006,5692.07,4229.14,33.49,34.89,27.18,19.6,6.69,16.02,North America
Brazil,2005,6868.97,3921.78,43.3,20.37,0.36,11.98,7.31,5.36,South America
India,2001,2372.51,4412.17,21.96,34.64,20.22,17.71,10.84,13.77,Asia
South Africa,2005,4170.69,5448.23,34.63,36.26,1.56,5.94,2.74,19.12,Africa
South Africa,2017,2159.07,5765.71,21.01,7.19,16.47,10.03,2.45,7.62,Africa
Australia,2001,7907.51,5139.61,21.88,35.92,8.63,6.01,7.09,12.07,Oceania
Japan,2017,7580.45,6706.46,47.19,20.69,9.2,19.63,11.06,6.37,Asia
United States,2014,795.7,520.34,24.18,22.87,10.59,17.25,4.51,14.39,North America
United States,2018,5791.81,1692.13,35.97,26.93,18.64,17.79,10.34,13.26,North America
Mexico,2001,7439.36,449.91,32.33,37.42,10.02,19.07,5.38,11.11,North America
Russia,2019,1854.32,4673.33,30.42,5.67,21.98,6.28,13.52,12.82,Europe
Japan,2005,4759.59,6327.0,47.0,21.69,12.14,10.78,13.64,18.45,Asia
Canada,2000,7366.16,2006.98,20.65,29.07,2.05,6.07,5.86,7.94,North America
Australia,2023,754.59,6518.43,39.91,30.29,23.51,8.16,4.99,5.34,Oceania
Canada,2014,5730.65,797.76,48.9,29.24,8.57,8.44,7.35,17.92,North America
Canada,2022,2730.12,6567.28,36.81,9.71,12.98,12.04,5.13,13.66,North America
Canada,2009,7432.97,2720.71,48.1,15.48,20.56,9.03,10.74,18.36,North America
Japan,2018,7782.94,1069.38,21.57,17.56,9.97,6.51,12.74,13.95,Asia
Canada,2016,7582.0,3606.75,32.56,33.16,1.7,7.51,10.75,17.15,North America
South Africa,2004,4056.61,2094.73,27.8,14.76,11.22,7.21,12.72,11.45,Africa
Russia,2003,6965.32,2280.16,41.92,12.37,28.33,19.6,7.16,16.25,Europe
Russia,2009,6834.12,2428.11,49.44,38.51,19.25,16.39,4.03,18.7,Europe
Germany,2023,2893.25,5699.97,27.7,5.31,20.14,19.52,11.59,13.58,Europe
Brazil,2016,6716.87,3958.46,39.63,39.92,18.97,11.6,6.69,7.71,South America
United States,2009,777.56,2454.63,25.94,28.69,5.97,9.18,10.73,9.03,North America
Mexico,2016,4972.02,4428.2,36.96,34.0,12.55,16.97,5.52,7.98,North America
United States,2019,2225.07,5126.59,33.92,15.31,22.53,9.89,3.06,8.7,North America
Brazil,2023,1404.25,2199.32,49.16,5.5,3.04,9.49,14.9,9.6,South America
Mexico,2004,1077.15,3129.42,38.26,30.83,8.34,8.49,4.03,13.33,North America
Japan,2001,5722.17,1204.45,30.49,34.2,8.29,6.95,14.85,13.82,Asia
India,2005,3049.06,1595.59,23.42,30.92,12.96,8.85,14.7,11.4,Asia
Japan,2020,5935.75,4895.38,24.54,10.0,29.41,10.33,12.32,14.23,Asia
United States,2001,990.17,1597.49,26.76,31.37,2.03,15.11,10.57,6.22,North America
United States,2012,2864.68,3866.08,27.53,31.91,15.56,5.94,9.51,6.32,North America
Mexico,2010,4546.18,5079.71,45.52,28.05,5.38,8.16,13.26,7.58,North America
Mexico,2010,6430.42,1105.39,36.84,31.81,29.12,17.14,5.76,12.77,North America
Brazil,2015,2890.64,4144.26,35.7,34.61,3.4,7.2,8.08,8.21,South America
Canada,2010,5194.19,2093.31,23.44,26.48,12.11,10.14,10.05,9.25,North America
Japan,2018,7144.83,6755.32,45.8,8.1,22.14,17.97,7.35,11.0,Asia
Mexico,2014,5118.97,3591.4,41.68,22.07,21.14,7.32,7.56,17.18,North America
France,2022,2247.2,5719.55,22.03,7.72,12.68,6.24,6.29,5.21,Europe
Brazil,2022,683.01,4031.5,41.24,19.26,10.4,12.27,9.34,14.74,South America
South Africa,2015,7025.74,686.52,36.31,19.25,11.93,9.54,13.06,15.03,Africa
United States,2010,659.52,4578.8,22.45,7.31,7.93,13.45,4.62,16.98,North America
Brazil,2021,7060.26,6679.26,33.75,17.21,6.16,17.06,14.15,18.99,South America
Japan,2015,4467.03,4370.64,34.54,8.88,14.49,7.06,10.96,5.3,Asia
Mexico,2007,7543.01,5806.65,24.97,33.29,8.06,13.71,12.7,7.31,North America
United States,2003,6490.87,6235.76,48.37,38.17,8.62,12.58,9.23,18.29,North America
India,2007,7984.51,1905.33,45.5,7.53,19.7,7.16,12.13,11.88,Asia
Brazil,2003,3130.34,1799.5,40.07,38.43,29.06,14.36,2.21,13.47,South America
Australia,2023,6253.91,4432.47,33.87,23.29,18.11,9.1,12.64,14.95,Oceania
United States,2002,3514.48,3112.79,32.35,15.48,2.31,12.32,2.52,15.19,North America
Japan,2002,4099.07,5943.08,39.53,7.69,2.27,6.23,13.57,18.98,Asia
Germany,2017,5206.29,6340.15,36.36,22.52,28.54,11.89,14.9,19.95,Europe
France,2018,7052.58,2732.58,21.87,32.81,8.92,9.6,5.82,15.8,Europe
China,2018,7880.63,1963.35,35.38,29.75,2.76,17.34,4.73,9.31,Asia
Canada,2020,6262.05,5551.47,44.19,6.76,17.97,5.85,11.95,18.2,North America
China,2004,3633.25,2213.72,33.78,7.55,18.71,11.28,5.29,5.74,Asia
Japan,2017,3660.18,5829.25,21.56,19.1,19.46,11.88,13.25,8.47,Asia
South Africa,2009,6031.87,3196.67,43.59,15.34,8.02,15.88,3.34,18.46,Africa
South Africa,2021,2290.83,4805.83,26.04,13.13,0.45,13.61,3.64,8.84,Africa
Germany,2020,1328.56,1030.53,27.76,14.84,28.95,15.01,14.73,8.31,Europe
Canada,2005,3159.67,4517.47,24.94,33.12,7.53,16.66,10.76,7.07,North America
Australia,2000,2654.29,3381.67,29.91,37.52,20.28,17.93,13.01,17.89,Oceania
Germany,2004,2722.31,4271.62,42.7,19.18,21.2,9.71,6.22,12.5,Europe
Russia,2008,2252.06,1508.89,35.58,36.71,18.3,13.07,10.79,15.12,Europe
China,2011,815.7,5263.37,26.15,16.25,9.39,17.6,9.73,8.59,Asia
Germany,2013,634.05,6094.46,46.33,21.68,8.13,19.84,9.84,16.37,Europe
China,2001,7907.92,1830.48,46.39,12.91,17.93,18.34,10.87,16.4,Asia
United States,2016,3708.3,1031.72,46.12,27.42,25.98,10.57,9.48,9.69,North America
South Africa,2013,3382.45,556.01,27.16,39.26,28.4,7.93,7.58,11.16,Africa
United States,2012,5597.35,4637.01,33.54,26.12,3.18,12.34,5.59,8.15,North America
France,2008,2136.9,4406.82,49.55,17.52,4.64,16.12,11.99,19.65,Europe
Russia,2014,7624.71,4008.2,43.16,27.67,28.34,12.39,4.94,14.68,Europe
Canada,2021,6397.59,1930.85,20.82,9.3,22.1,12.25,11.0,19.02,North America
Australia,2014,1170.58,2979.98,21.96,36.1,26.49,17.57,5.03,9.55,Oceania
China,2023,3631.86,4323.54,33.92,22.61,6.08,10.42,10.13,16.73,Asia
Australia,2010,7093.39,3678.66,47.28,20.73,17.63,17.9,11.71,16.49,Oceania
China,2015,7585.49,6919.38,36.16,25.51,21.03,11.1,4.84,15.37,Asia
Japan,2016,4005.51,1300.5,34.93,26.87,20.4,9.92,2.78,19.48,Asia
Germany,2003,5100.59,4987.95,23.16,7.51,12.24,11.81,3.7,10.9,Europe
France,2000,1752.75,3068.5,39.7,28.89,0.46,16.44,9.88,6.96,Europe
South Africa,2007,7933.76,3226.12,44.66,13.47,17.49,6.89,13.04,15.08,Africa
Mexico,2016,2237.54,5136.15,31.41,29.99,7.59,7.95,2.58,15.94,North America
China,2002,7570.49,4970.08,43.27,33.79,13.51,19.27,11.54,13.63,Asia
Australia,2019,5372.35,6942.29,48.93,33.14,28.73,7.63,6.44,8.1,Oceania
France,2014,5058.03,1247.4,26.11,24.34,11.97,13.52,8.22,12.57,Europe
India,2014,4345.16,1087.12,35.7,23.21,25.19,13.69,14.08,9.68,Asia
India,2023,2230.02,5180.64,28.61,10.0,5.66,12.34,6.32,11.41,Asia
United States,2021,1823.96,4217.35,43.79,32.14,20.17,14.67,8.05,14.68,North America
South Africa,2013,2153.65,2209.46,37.33,14.5,29.31,8.45,2.18,16.18,Africa
Mexico,2022,1898.29,924.17,39.04,22.38,3.06,13.29,3.06,8.48,North America
Japan,2013,6346.88,965.34,43.94,14.95,0.25,10.58,5.36,11.08,Asia
Australia,2023,3125.94,6301.66,31.88,9.68,13.01,14.93,2.36,9.04,Oceania
Mexico,2001,933.82,1666.32,47.45,27.03,2.78,7.12,10.21,7.98,North America
Germany,2012,7768.27,2534.25,35.99,6.9,22.45,13.56,7.54,16.75,Europe
Germany,2013,7128.39,1895.93,24.74,31.2,27.44,7.78,9.13,18.64,Europe
Australia,2023,7458.14,2742.98,40.88,16.12,13.02,9.18,4.27,10.55,Oceania
Canada,2018,7961.81,858.2,43.8,5.0,7.76,8.28,5.85,16.27,North America
Japan,2006,1804.21,3825.79,29.5,22.89,13.03,7.74,10.63,18.45,Asia
France,2002,3471.82,846.24,45.72,6.64,21.7,17.39,14.55,17.69,Europe
China,2014,6186.79,5682.35,47.18,14.67,0.27,9.29,2.66,7.74,Asia
Canada,2022,5720.15,1942.5,28.31,29.74,17.68,18.91,13.57,19.34,North America
China,2013,1654.22,3964.08,49.51,7.19,18.4,19.55,9.5,10.65,Asia
China,2010,6618.75,6208.52,24.22,34.38,19.13,13.57,9.33,10.09,Asia
Canada,2014,2183.3,4695.79,26.06,5.13,7.26,7.15,8.5,5.94,North America
United States,2012,2178.63,3917.52,25.53,13.64,21.42,10.62,2.9,12.29,North America
India,2017,4527.31,2540.6,46.82,30.93,2.74,16.97,3.17,6.64,Asia
China,2005,4947.05,2597.81,39.63,16.07,5.98,10.51,9.81,8.73,Asia
Canada,2002,4850.65,4818.61,24.56,8.57,26.32,6.31,6.43,9.75,North America
Canada,2018,1186.15,6961.32,33.21,17.61,22.16,13.35,13.92,17.13,North America
Russia,2014,7080.96,4768.14,38.46,14.46,0.41,17.68,7.29,18.13,Europe
Mexico,2022,2492.0,4081.37,22.5,34.49,7.45,16.94,3.86,9.54,North America
Brazil,2004,1471.36,5222.29,46.47,15.97,6.43,7.63,11.29,17.88,South America
United States,2009,7165.61,3470.36,44.11,32.61,8.12,15.09,5.81,17.86,North America
South Africa,2006,7667.39,796.94,35.16,36.22,7.43,8.31,8.83,16.47,Africa
Brazil,2016,6965.96,4111.16,49.01,20.18,1.88,8.27,11.07,7.2,South America
Mexico,2006,6571.37,6720.33,32.53,36.85,13.77,18.11,13.7,15.35,North America
Mexico,2021,5414.31,1557.0,49.52,18.21,21.98,8.75,12.3,19.18,North America
Mexico,2011,4631.43,4954.03,40.04,38.74,18.2,8.95,10.79,15.24,North America
Brazil,2016,1152.4,1726.16,39.04,8.13,20.19,5.01,10.84,9.97,South America
Australia,2012,3563.4,3936.46,24.98,29.05,2.43,18.06,14.3,12.51,Oceania
India,2019,3295.16,1038.06,46.46,22.28,28.54,16.89,5.85,14.69,Asia
Canada,2003,2448.15,3372.45,32.82,18.57,25.15,14.41,2.01,12.66,North America
India,2009,5925.65,5390.68,24.87,27.14,24.15,16.25,5.54,6.8,Asia
Japan,2002,4219.07,2693.97,20.38,29.63,24.69,7.28,4.83,9.68,Asia
Australia,2008,1107.85,4788.42,36.79,5.15,27.98,11.87,10.6,17.04,Oceania
South Africa,2012,2151.37,5649.97,35.82,10.84,16.33,10.27,10.24,17.92,Africa
India,2017,5624.44,6519.37,41.58,29.96,6.01,6.41,9.71,7.06,Asia
Germany,2014,1070.98,1948.64,46.71,28.32,18.5,12.29,2.21,19.29,Europe
Mexico,2003,6884.05,3035.49,22.38,38.81,22.29,18.81,11.47,9.93,North America
China,2014,4213.6,1405.95,41.94,31.64,22.14,5.6,6.21,14.93,Asia
Japan,2021,4104.4,6950.39,25.62,38.28,15.64,9.37,10.65,16.28,Asia
United States,2001,4943.06,6518.21,45.75,29.59,2.05,8.11,9.24,17.18,North America
South Africa,2014,6685.11,3963.72,44.57,15.43,11.13,8.57,6.46,19.19,Africa
Japan,2007,3108.57,5957.42,36.22,8.69,27.62,18.63,3.75,9.69,Asia
Mexico,2007,5585.12,3838.32,41.31,32.36,17.53,12.02,3.23,17.88,North America
China,2016,4742.99,4515.67,29.43,27.55,16.15,11.99,12.81,6.98,Asia
Australia,2011,2502.71,988.22,34.14,6.69,8.07,16.41,13.94,15.58,Oceania
China,2018,7089.72,5384.78,44.65,17.6,11.05,7.32,10.45,16.13,Asia
Brazil,2009,6480.7,1242.91,33.78,38.49,26.86,12.31,3.34,15.17,South America
China,2008,5438.39,5852.05,30.73,22.51,19.99,11.45,7.23,8.78,Asia
Brazil,2004,6879.36,5561.39,34.83,20.15,23.62,13.95,11.48,18.1,South America
Australia,2005,7004.71,5077.72,44.85,21.02,13.63,19.99,12.14,7.53,Oceania
France,2019,5812.72,638.66,30.06,12.31,18.91,16.54,3.54,5.8,Europe
Mexico,2001,6777.6,2400.65,25.21,17.9,7.45,10.97,2.0,15.76,North America
Brazil,2023,5731.04,2136.54,41.36,17.94,21.16,17.41,11.26,12.13,South America
United States,2012,5601.06,2776.9,44.78,6.83,12.83,7.56,6.64,17.74,North America
China,2005,5139.59,978.44,23.02,31.86,13.28,5.46,5.31,10.75,Asia
China,2004,6145.37,6583.92,27.2,19.58,19.48,8.07,2.17,7.52,Asia
United States,2000,1689.54,4055.09,24.26,33.78,28.09,10.11,9.02,17.55,North America
Germany,2020,7106.53,2416.46,30.44,34.76,1.92,12.66,13.06,13.23,Europe
Canada,2021,7038.83,3020.08,33.51,12.42,24.74,14.23,14.45,7.84,North America
France,2020,719.35,3351.54,42.46,28.01,8.77,18.66,9.35,15.81,Europe
South Africa,2005,6693.63,4363.92,39.53,21.53,13.32,12.65,8.69,12.67,Africa
Brazil,2005,1466.52,3803.48,38.63,35.81,0.66,12.52,3.11,14.06,South America
United States,2022,3013.39,6467.99,30.57,12.55,9.03,5.75,9.14,11.91,North America
Australia,2015,6076.31,3679.96,45.24,28.72,15.08,5.52,6.94,17.43,Oceania
Brazil,2003,1705.7,6948.24,34.14,26.27,1.69,13.27,9.89,17.44,South America
Canada,2010,6634.75,6019.4,49.37,15.34,14.73,11.57,7.05,15.64,North America
Australia,2023,6741.01,1776.17,39.02,9.78,27.81,17.59,5.12,6.58,Oceania
Japan,2022,4306.01,6541.93,23.79,27.81,3.16,7.41,3.23,17.58,Asia
Mexico,2008,547.89,1168.02,40.29,30.85,22.93,5.37,6.09,15.07,North America
China,2022,2652.79,5795.17,29.75,16.05,12.29,11.74,3.26,15.46,Asia
Japan,2002,5126.95,2912.11,40.59,27.57,19.66,8.56,4.3,10.44,Asia
Brazil,2018,7858.9,6194.63,22.09,18.83,7.81,5.74,14.84,18.19,South America
Canada,2007,5238.6,6129.17,25.25,29.96,4.78,15.87,7.77,15.88,North America
France,2004,2448.53,5719.11,45.67,11.97,4.81,6.67,8.91,6.69,Europe
Mexico,2003,5255.04,5614.2,26.82,36.16,2.11,14.12,13.36,11.12,North America
Brazil,2023,4549.89,2410.88,45.11,15.06,5.57,9.22,14.94,18.3,South America
United States,2005,6348.84,934.07,28.38,17.87,19.93,7.6,9.58,5.71,North America
